wind_speed,wind_direction,grid_current,grid_voltage,production
2.3,16.3,52.8,376.3,-3991.6902
2.9,8.8,54.9,376.2,-1508.8372
3.5,19.5,59.0,377.4,4189.4427
3.7,28.9,75.9,378.9,10325.6952
3.8,27.3,83.1,378.6,11786.6344
3.5,26.5,69.9,376.3,7377.5204
3.8,20.1,93.0,374.4,12799.0482
4.0,18.4,125.9,374.0,20440.1371
5.1,21.2,274.1,374.0,49796.2968
5.6,22.3,350.3,373.6,64582.6895
5.7,25.0,400.9,373.7,74159.4029
6.0,24.6,443.3,373.1,81973.9732
5.8,31.0,376.9,373.4,69498.7774
5.8,30.6,460.9,373.2,85200.9006
6.3,26.2,553.0,372.6,102398.5109
6.3,26.7,525.0,372.7,97326.9387
6.1,28.3,486.2,372.5,89981.8071
5.6,27.1,395.7,372.3,72901.9711
7.6,34.4,931.7,373.3,174012.9212
5.9,24.9,442.2,372.8,81880.3399
6.5,29.2,694.7,372.9,129671.3289
5.6,27.7,421.9,372.8,78055.2397
6.3,25.2,670.2,373.4,124544.3958
6.2,24.7,631.1,373.8,117874.0908
6.6,22.3,803.2,375.0,150404.7515
6.6,28.2,751.8,375.5,141191.3850
7.4,27.7,840.0,376.4,157686.7665
5.6,38.0,510.7,376.6,96528.9818
5.8,29.1,579.8,376.2,108764.0632
6.2,30.9,606.0,375.3,113888.3977
6.9,32.4,633.8,375.9,119033.3602
7.6,33.9,1201.9,376.3,226723.8963
7.4,32.2,1047.4,376.2,196959.9070
7.2,33.7,893.8,376.1,168439.7303
6.8,35.5,760.7,375.9,142923.8174
7.1,35.0,1047.0,375.9,196748.9991
7.4,36.9,870.9,376.3,164623.1949
6.6,35.5,631.9,376.3,118846.1882
6.6,37.0,666.7,377.3,125783.4445
6.7,38.5,681.0,378.0,128543.6576
6.5,42.6,746.1,377.7,140635.0893
7.1,48.4,1039.0,378.5,196567.6075
6.9,48.0,699.2,378.0,132153.6442
8.3,45.7,1351.7,378.1,256328.8242
9.2,46.9,1659.3,379.5,314787.2140
8.7,47.0,1555.0,380.9,295107.1779
9.3,47.5,1956.2,381.2,372876.0928
9.3,42.8,1870.5,380.1,354899.2872
10.6,46.1,2609.1,382.1,497879.9869
10.8,46.2,2714.6,382.0,518454.1610
11.6,49.2,2831.9,383.3,541730.7889
10.9,46.8,2773.9,382.5,530007.9985
10.2,44.9,2580.7,381.9,492644.8554
10.5,49.2,2509.0,381.8,478626.2389
9.3,50.2,1998.0,382.6,379937.1336
11.0,53.0,2649.5,383.9,506746.9697
10.4,53.2,2464.9,384.1,471525.7884
10.9,55.4,2679.1,384.5,513001.0537
11.5,56.3,2747.9,385.7,527067.7254
11.4,55.5,2816.8,385.5,540389.4512
11.6,58.2,2793.1,383.8,534139.9106
12.5,58.9,2858.0,382.9,545714.4636
12.0,57.6,2858.2,383.2,544891.3867
11.7,57.3,2853.9,384.6,544881.3704
12.1,58.0,2849.3,384.7,544479.3649
12.9,57.4,2873.9,385.0,549906.9329
12.9,56.6,2842.1,384.7,543238.0023
12.9,54.7,2861.9,384.3,547676.6818
11.7,55.6,2563.0,385.0,488753.6869
11.2,56.4,2716.7,385.2,519362.9134
12.6,57.4,2850.3,385.7,545469.8738
12.3,57.4,2731.0,386.1,522847.8384
12.1,58.3,2732.2,386.6,523183.8211
12.8,57.8,2825.2,386.1,541454.7827
12.4,59.0,2819.0,386.7,540175.7983
11.2,62.8,2465.9,386.3,471047.7362
12.7,62.6,2749.2,387.3,527286.9972
11.6,58.7,2653.0,387.1,508976.2227
13.6,60.2,2798.2,387.0,537966.2226
13.0,62.4,2763.2,386.9,531207.3430
11.4,64.6,2599.0,386.8,498176.1786
12.1,63.9,2721.2,383.6,517376.0235
12.3,63.2,2606.9,383.5,494443.1749
13.6,60.6,2878.0,383.2,547617.7219
12.2,60.0,2782.0,383.5,528725.7409
11.4,59.9,2614.1,383.6,496483.8193
12.0,60.1,2651.3,383.7,503222.4005
12.4,59.5,2842.6,383.0,540893.9341
10.4,62.4,2321.7,382.9,439504.7452
11.8,61.4,2600.9,382.2,492776.8829
11.5,59.7,2696.9,382.2,510739.6930
11.3,58.6,2506.2,382.4,473746.2539
13.5,59.4,2873.2,382.9,545965.8185
13.1,58.8,2882.3,383.6,547830.9589
13.4,58.8,2884.2,383.0,548851.6897
12.8,58.6,2767.9,382.7,525520.9279
12.0,59.2,2753.0,383.3,522775.2161
13.6,60.4,2879.8,382.6,547484.3603
12.3,62.2,2775.3,382.8,527660.4131
13.3,60.1,2810.1,381.0,530637.3473
12.1,61.3,2803.2,380.0,529703.1057
12.3,59.1,2823.0,380.6,532647.9420
12.1,59.9,2629.3,380.3,495661.4643
9.8,62.4,1933.2,379.6,361095.9554
11.5,61.3,2660.2,380.5,501632.9827
12.3,61.0,2796.1,380.9,528328.5505
11.5,62.0,2662.4,380.0,502957.7726
13.1,58.9,2852.1,380.4,539508.8722
12.8,59.0,2805.0,380.1,529936.8060
13.5,59.7,2893.8,379.6,547463.8902
11.4,61.3,2584.9,378.9,488246.5190
10.7,62.0,2534.1,380.1,478213.8129
10.2,63.2,2219.4,379.7,418131.2805
10.1,62.0,2265.8,380.2,425868.0952
11.2,62.0,2653.2,380.9,501730.2637
10.6,63.6,2462.8,380.9,463946.2457
11.3,61.3,2625.2,381.2,496266.5762
11.5,60.5,2603.1,380.7,492254.9020
12.1,60.7,2718.2,381.5,514381.1086
13.3,59.8,2816.9,381.6,532780.9066
14.1,56.7,2898.7,381.4,548932.2643
14.2,58.1,2901.2,381.9,549620.9151
12.4,58.3,2770.8,380.9,524488.0560
12.1,57.4,2798.9,381.7,530724.6037
12.8,59.0,2822.0,381.2,534510.2792
12.4,57.5,2770.0,381.4,524716.5898
13.8,57.9,2856.2,382.0,541694.8393
15.3,57.8,2899.6,382.2,549947.7551
13.6,57.8,2848.1,381.6,539357.9727
13.4,57.2,2869.0,382.0,544361.5727
13.4,59.1,2843.7,382.3,539141.0429
15.2,59.1,2900.1,382.0,549129.9163
14.8,58.8,2899.2,381.9,549263.2086
13.8,59.7,2879.8,381.5,545608.4870
14.4,59.0,2894.1,381.4,547635.5667
14.7,61.0,2900.2,381.5,548987.7897
15.0,58.0,2903.9,381.8,549724.8091
13.8,59.1,2822.9,380.4,533280.4822
13.4,59.7,2738.7,380.3,516146.8686
11.4,62.4,2495.7,379.7,467920.7231
11.4,62.0,2591.9,379.1,485935.9781
12.4,59.5,2689.0,378.6,504474.9035
15.2,57.6,2924.0,379.1,549811.2162
15.6,58.2,2918.6,379.7,548747.5416
13.4,60.0,2831.0,380.9,533566.7472
14.7,58.7,2888.1,382.1,547276.3065
13.8,57.4,2870.0,382.4,544137.3859
11.4,60.7,2624.3,382.0,496435.2898
10.4,65.1,2151.2,380.6,403864.2253
11.8,60.7,2634.7,379.9,497284.4193
12.1,62.1,2712.0,381.8,512308.9665
11.9,59.7,2546.2,380.6,479134.5704
10.7,59.4,2499.8,380.8,470060.4594
13.0,60.8,2789.9,380.5,526291.8313
12.1,60.3,2723.0,380.5,512884.8575
13.4,60.6,2844.1,380.9,536541.6052
14.3,61.0,2836.0,380.8,534786.5164
13.1,61.8,2860.8,380.6,539932.7121
14.9,60.1,2905.9,380.9,548085.8275
15.3,58.1,2917.1,380.4,550083.2184
14.1,59.8,2896.9,381.3,546988.3402
10.5,61.0,2442.0,381.0,458297.6352
13.6,60.2,2855.1,380.7,538672.8108
13.6,59.5,2853.3,380.8,537889.1631
14.0,58.2,2865.1,380.6,540476.7354
12.9,57.0,2861.2,380.4,539376.0212
11.0,57.7,2375.8,380.2,444951.9480
11.5,60.5,2577.1,380.0,483609.1488
11.2,58.6,2584.2,380.9,485743.3212
14.1,57.7,2892.9,381.2,546484.5267
13.4,58.5,2900.8,381.5,548320.7405
14.1,60.7,2901.9,380.6,548693.1058
13.7,57.8,2818.0,380.1,531336.5605
13.9,58.2,2899.7,379.2,546881.8957
13.3,56.2,2911.8,379.8,549425.1870
14.5,56.7,2913.0,380.5,550024.2037
13.6,56.3,2908.1,381.2,549253.0785
13.5,54.2,2889.1,380.8,545299.1895
12.4,56.9,2894.3,380.6,546370.0328
12.9,57.8,2812.2,380.1,530595.0818
13.4,57.7,2911.2,380.5,549790.3623
